epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4426,0.54828,0.95963,0.90247,1,0.70998,0.98408,0.86982,0.53147,1.84231,0.82963,0,0,0
2,53.1768,0.60926,0.94559,0.92073,1,0.74352,0.9891,0.87705,0.5181,1.77631,0.82625,1.6505e-05,1.6505e-05,1.6505e-05
3,79.6824,0.62937,0.94972,0.91643,1,0.79389,0.99233,0.88776,0.50363,1.68231,0.82285,3.26799e-05,3.26799e-05,3.26799e-05
4,106.021,0.53227,0.91582,0.85572,0.98817,0.85262,0.99042,0.89052,0.50853,1.57393,0.8237,4.85247e-05,4.85247e-05,4.85247e-05
5,132.097,0.57454,0.91894,0.87927,0.98872,0.89445,0.99114,0.88177,0.52308,1.46728,0.82748,6.40395e-05,6.40395e-05,6.40395e-05
6,158.427,0.54438,0.82385,0.85995,0.98918,0.93311,0.99136,0.88584,0.5223,1.35827,0.82703,7.92242e-05,7.92242e-05,7.92242e-05
7,184.673,0.60851,0.87685,0.9277,0.98484,0.96939,0.99109,0.88695,0.51175,1.26051,0.8211,9.40788e-05,9.40788e-05,9.40788e-05
8,210.922,0.59464,0.84037,0.8887,0.97542,0.96939,0.99308,0.8867,0.49318,1.17104,0.81331,0.000108603,0.000108603,0.000108603
9,237.294,0.56666,0.79472,0.89486,0.98077,0.96939,0.99295,0.89269,0.4715,1.10251,0.8073,0.000122798,0.000122798,0.000122798
10,263.557,0.55389,0.86367,0.88527,0.96919,0.96288,0.98926,0.8949,0.46013,1.06347,0.80651,0.000136662,0.000136662,0.000136662
11,289.916,0.58141,0.86759,0.87685,0.96875,0.9489,0.98894,0.90073,0.46192,1.05681,0.80959,0.000150197,0.000150197,0.000150197
12,315.985,0.53237,0.90737,0.88887,0.97806,0.90997,0.99056,0.89387,0.47553,1.07653,0.8116,0.000163401,0.000163401,0.000163401
13,342.254,0.54948,0.78634,0.88612,0.98007,0.92857,0.99083,0.897,0.47803,1.08563,0.80999,0.000176275,0.000176275,0.000176275
14,368.589,0.59394,0.89068,0.91315,1,0.90742,0.98657,0.87936,0.48829,1.10923,0.81064,0.000188819,0.000188819,0.000188819
15,394.854,0.57775,0.83474,0.89545,1,0.90603,0.98516,0.88061,0.49012,1.13211,0.81156,0.000201034,0.000201034,0.000201034
16,420.979,0.52497,0.8218,0.88289,0.99086,0.90816,0.98493,0.88386,0.48266,1.14334,0.81139,0.000212918,0.000212918,0.000212918
17,447.206,0.60122,0.8403,0.8692,0.98087,0.92857,0.99027,0.88619,0.50601,1.14605,0.81748,0.000224472,0.000224472,0.000224472
18,473.384,0.61674,0.84829,0.91198,0.97869,0.93728,0.99232,0.88404,0.50651,1.14835,0.81828,0.000235695,0.000235695,0.000235695
19,499.866,0.63135,0.83334,0.89375,0.97933,0.96691,0.99232,0.88405,0.49531,1.13567,0.81465,0.000246589,0.000246589,0.000246589
20,526.232,0.60035,0.82938,0.9017,0.96481,0.96939,0.99324,0.88239,0.51224,1.12811,0.81379,0.000257153,0.000257153,0.000257153
21,552.119,0.50924,0.80995,0.85409,0.96925,0.96506,0.99319,0.88274,0.50198,1.1305,0.81224,0.000267387,0.000267387,0.000267387
22,578.329,0.56095,0.85688,0.87148,0.96945,0.97133,0.99288,0.89894,0.48329,1.13957,0.81229,0.00027729,0.00027729,0.00027729
23,604.483,0.59217,0.84326,0.90101,0.97473,0.97959,0.99358,0.89856,0.4784,1.15695,0.81369,0.000286864,0.000286864,0.000286864
24,630.729,0.61117,0.79761,0.88581,0.98596,0.95918,0.99389,0.90297,0.47392,1.16625,0.81096,0.000296108,0.000296108,0.000296108
25,656.985,0.60422,0.80499,0.90122,0.97918,0.95974,0.99369,0.89042,0.4967,1.19413,0.82113,0.000305021,0.000305021,0.000305021
26,683.225,0.60614,0.80754,0.89509,0.97885,0.94468,0.99318,0.88746,0.51736,1.20689,0.82547,0.000313604,0.000313604,0.000313604
27,709.112,0.52962,0.78603,0.85879,0.9893,0.94316,0.99362,0.86566,0.53103,1.19367,0.82396,0.000321858,0.000321858,0.000321858
28,735.268,0.58993,0.77037,0.87172,0.98957,0.96811,0.99321,0.87783,0.50667,1.1616,0.81798,0.000329781,0.000329781,0.000329781
29,761.325,0.59808,0.80641,0.87411,0.98965,0.97591,0.9944,0.89018,0.47402,1.12261,0.81009,0.000337374,0.000337374,0.000337374
30,787.415,0.48909,0.73462,0.82899,0.98542,0.97959,0.9941,0.88598,0.48091,1.10402,0.81195,0.000344637,0.000344637,0.000344637
31,813.496,0.58214,0.81722,0.89638,0.97861,0.96939,0.99401,0.87681,0.49989,1.08201,0.81613,0.00035157,0.00035157,0.00035157
32,839.374,0.57049,0.82,0.90196,0.97953,0.97661,0.99409,0.8695,0.52735,1.08963,0.82128,0.000358173,0.000358173,0.000358173
33,865.373,0.58484,0.79416,0.89315,0.97961,0.98048,0.99409,0.87731,0.51794,1.08225,0.82162,0.000364446,0.000364446,0.000364446
34,891.343,0.53165,0.71944,0.84935,0.97946,0.97327,0.99358,0.88116,0.51155,1.06916,0.82398,0.000370389,0.000370389,0.000370389
35,917.201,0.54774,0.77418,0.83564,0.96959,0.9761,0.99318,0.88034,0.51278,1.04093,0.82441,0.000376002,0.000376002,0.000376002
36,943.037,0.55337,0.78184,0.86017,0.97942,0.97103,0.99308,0.87376,0.52387,1.02394,0.82169,0.000381285,0.000381285,0.000381285
37,969.026,0.54778,0.74404,0.87562,0.98973,0.98317,0.99409,0.87688,0.50882,0.97914,0.81554,0.000386237,0.000386237,0.000386237
38,994.959,0.55774,0.76451,0.86238,0.98979,0.98911,0.99398,0.86396,0.5251,0.96988,0.82011,0.00039086,0.00039086,0.00039086
39,1020.74,0.62041,0.79589,0.90672,0.97929,0.96526,0.99308,0.85803,0.54467,0.97936,0.82676,0.000395152,0.000395152,0.000395152
40,1046.36,0.55588,0.84795,0.87453,0.98961,0.97212,0.99379,0.87909,0.51531,1.00346,0.81964,0.000399115,0.000399115,0.000399115
41,1072.25,0.56205,0.7445,0.84799,0.98987,0.99704,0.99389,0.88237,0.48406,1.00316,0.81413,0.000402747,0.000402747,0.000402747
42,1098.14,0.51726,0.75513,0.8522,0.97606,0.97959,0.99379,0.88307,0.50059,0.97582,0.82274,0.00040605,0.00040605,0.00040605
43,1123.82,0.48024,0.74568,0.85459,0.96997,0.98892,0.99309,0.87469,0.49888,0.95185,0.8227,0.000409022,0.000409022,0.000409022
44,1149.67,0.55714,0.76036,0.86321,0.97343,0.9898,0.99359,0.88323,0.49508,0.91752,0.8224,0.000411664,0.000411664,0.000411664
45,1175.35,0.46973,0.70358,0.82703,0.9794,0.97025,0.99378,0.87808,0.50416,0.87149,0.82398,0.000413976,0.000413976,0.000413976
46,1201.23,0.58521,0.76482,0.8412,0.97966,0.98303,0.994,0.87732,0.50456,0.83322,0.81792,0.000415958,0.000415958,0.000415958
47,1227.09,0.5511,0.7989,0.86901,0.96073,0.99863,0.99319,0.87768,0.48612,0.81535,0.81209,0.00041761,0.00041761,0.00041761
48,1252.76,0.54792,0.71051,0.88877,0.97974,0.98699,0.99429,0.87791,0.48141,0.80185,0.81099,0.000418932,0.000418932,0.000418932
49,1278.61,0.54656,0.75338,0.86765,0.99157,0.9898,0.9949,0.88465,0.48555,0.82462,0.80985,0.000419924,0.000419924,0.000419924
50,1304.49,0.55473,0.70932,0.8947,1,0.97677,0.9946,0.88005,0.48897,0.85653,0.81032,0.000420586,0.000420586,0.000420586
51,1330.32,0.53138,0.71826,0.87849,1,0.97677,0.9946,0.88005,0.48897,0.85653,0.81032,0.000420918,0.000420918,0.000420918
52,1356.09,0.53474,0.77554,0.8575,1,0.96344,0.99412,0.87494,0.50252,0.87223,0.81263,0.000420919,0.000420919,0.000420919
53,1381.51,0.51971,0.72557,0.84465,1,0.96344,0.99412,0.87494,0.50252,0.87223,0.81263,0.000420591,0.000420591,0.000420591
54,1407.1,0.53501,0.76051,0.87724,1,0.97293,0.99431,0.87858,0.48153,0.87379,0.80789,0.000419932,0.000419932,0.000419932
55,1432.62,0.57149,0.78467,0.87379,1,0.97293,0.99431,0.87858,0.48153,0.87379,0.80789,0.000418944,0.000418944,0.000418944
56,1458.06,0.48162,0.72814,0.85365,0.99858,0.96939,0.99401,0.88284,0.46589,0.88263,0.8076,0.000417625,0.000417625,0.000417625
57,1483.63,0.52079,0.73056,0.86023,0.99858,0.96939,0.99401,0.88284,0.46589,0.88263,0.8076,0.000415977,0.000415977,0.000415977
58,1509.14,0.48418,0.79408,0.86693,0.98966,0.97664,0.99411,0.88391,0.47865,0.8928,0.81216,0.000413998,0.000413998,0.000413998
59,1534.94,0.53222,0.71946,0.88232,0.98966,0.97664,0.99411,0.88391,0.47865,0.8928,0.81216,0.000411689,0.000411689,0.000411689
60,1560.6,0.55588,0.73504,0.86764,0.98965,0.97543,0.9944,0.88834,0.46978,0.85639,0.81269,0.00040905,0.00040905,0.00040905
61,1586.32,0.5082,0.6967,0.85311,0.98965,0.97543,0.9944,0.88834,0.46978,0.85639,0.81269,0.000406081,0.000406081,0.000406081
62,1612.03,0.48691,0.75369,0.843,0.98621,0.97959,0.99422,0.88546,0.46565,0.82293,0.81023,0.000402782,0.000402782,0.000402782
63,1637.67,0.54383,0.77451,0.8845,0.98621,0.97959,0.99422,0.88546,0.46565,0.82293,0.81023,0.000399153,0.000399153,0.000399153
64,1663.26,0.49166,0.67129,0.84635,0.98579,0.96939,0.99344,0.88435,0.46493,0.80684,0.80941,0.000395194,0.000395194,0.000395194
65,1688.76,0.53786,0.71002,0.84034,0.98579,0.96939,0.99344,0.88435,0.46493,0.80684,0.80941,0.000390905,0.000390905,0.000390905
66,1714.37,0.54625,0.74816,0.87357,0.99101,0.95918,0.99316,0.88994,0.45608,0.79602,0.80934,0.000386286,0.000386286,0.000386286
67,1740.86,0.53681,0.75921,0.89406,0.99101,0.95918,0.99316,0.88994,0.45608,0.79602,0.80934,0.000381336,0.000381336,0.000381336
68,1768.39,0.4887,0.70643,0.84155,0.97003,0.99092,0.99429,0.91066,0.43438,0.79214,0.80535,0.000376057,0.000376057,0.000376057
69,1794.15,0.53759,0.7164,0.87583,0.97003,0.99092,0.99429,0.91066,0.43438,0.79214,0.80535,0.000370447,0.000370447,0.000370447
70,1819.75,0.54086,0.79528,0.87931,0.99559,0.9898,0.9947,0.91161,0.40771,0.78823,0.79999,0.000364508,0.000364508,0.000364508
71,1845.51,0.48987,0.68943,0.85514,0.99559,0.9898,0.9947,0.91161,0.40771,0.78823,0.79999,0.000358238,0.000358238,0.000358238
72,1871.31,0.4949,0.72479,0.87089,1,0.98846,0.9948,0.90369,0.42253,0.75578,0.80327,0.000351639,0.000351639,0.000351639
73,1897.27,0.46236,0.69174,0.87286,1,0.98846,0.9948,0.90369,0.42253,0.75578,0.80327,0.000344709,0.000344709,0.000344709
74,1922.95,0.53113,0.70747,0.86043,1,0.98594,0.9948,0.89861,0.42756,0.71708,0.80405,0.000337449,0.000337449,0.000337449
75,1948.77,0.48674,0.66304,0.85487,1,0.98594,0.9948,0.89861,0.42756,0.71708,0.80405,0.000329859,0.000329859,0.000329859
76,1974.73,0.50267,0.68484,0.85505,1,0.98656,0.9949,0.90815,0.41212,0.68152,0.79861,0.000321939,0.000321939,0.000321939
77,2000.8,0.48501,0.67338,0.85518,1,0.98656,0.9949,0.90815,0.41212,0.68152,0.79861,0.000313689,0.000313689,0.000313689
78,2026.41,0.45029,0.67007,0.86316,1,0.98654,0.9949,0.9095,0.40275,0.6456,0.79494,0.000305109,0.000305109,0.000305109
79,2052.07,0.48411,0.7439,0.85085,1,0.98654,0.9949,0.9095,0.40275,0.6456,0.79494,0.000296199,0.000296199,0.000296199
80,2077.74,0.50831,0.71833,0.8691,1,0.98771,0.9949,0.91852,0.38832,0.63034,0.78941,0.000286959,0.000286959,0.000286959
81,2103.46,0.4603,0.67987,0.86134,1,0.98771,0.9949,0.91852,0.38832,0.63034,0.78941,0.000277389,0.000277389,0.000277389
82,2129.25,0.50544,0.72549,0.87997,1,0.98964,0.9949,0.92254,0.38381,0.62735,0.78819,0.000267488,0.000267488,0.000267488
83,2155.17,0.4552,0.63431,0.83486,1,0.98964,0.9949,0.92254,0.38381,0.62735,0.78819,0.000257258,0.000257258,0.000257258
84,2180.83,0.48562,0.69467,0.86562,1,0.98925,0.9949,0.93478,0.37719,0.62317,0.78726,0.000246698,0.000246698,0.000246698
85,2206.4,0.43894,0.65182,0.83729,1,0.98925,0.9949,0.93478,0.37719,0.62317,0.78726,0.000235807,0.000235807,0.000235807
86,2232.02,0.45125,0.6319,0.86095,1,0.989,0.9949,0.94068,0.36542,0.61753,0.78507,0.000224587,0.000224587,0.000224587
87,2257.71,0.4507,0.63871,0.82865,1,0.989,0.9949,0.94068,0.36542,0.61753,0.78507,0.000213036,0.000213036,0.000213036
88,2283.41,0.45602,0.65766,0.8426,1,0.99638,0.995,0.93943,0.3555,0.60609,0.78333,0.000201155,0.000201155,0.000201155
89,2308.98,0.43227,0.65462,0.84639,1,0.99638,0.995,0.93943,0.3555,0.60609,0.78333,0.000188944,0.000188944,0.000188944
90,2334.58,0.4195,0.67286,0.84403,1,0.99853,0.995,0.93186,0.34634,0.59366,0.78148,0.000176404,0.000176404,0.000176404
91,2360.01,0.50121,1.02759,0.82642,1,0.99853,0.995,0.93186,0.34634,0.59366,0.78148,0.000163533,0.000163533,0.000163533
92,2385.29,0.46009,0.94622,0.88338,1,0.99903,0.995,0.92779,0.34347,0.58981,0.78022,0.000150332,0.000150332,0.000150332
93,2410.63,0.45766,0.8773,0.8446,1,0.99903,0.995,0.92779,0.34347,0.58981,0.78022,0.000136801,0.000136801,0.000136801
94,2435.87,0.48264,0.92566,0.88212,1,0.99847,0.995,0.92613,0.33938,0.59674,0.77839,0.00012294,0.00012294,0.00012294
95,2461.26,0.5319,0.99015,0.84982,1,0.99847,0.995,0.92613,0.33938,0.59674,0.77839,0.000108748,0.000108748,0.000108748
96,2486.5,0.57339,0.96509,0.84241,1,0.99818,0.995,0.93111,0.33584,0.60638,0.77698,9.42272e-05,9.42272e-05,9.42272e-05
97,2511.71,0.45268,0.85418,0.86181,1,0.99818,0.995,0.93111,0.33584,0.60638,0.77698,7.93759e-05,7.93759e-05,7.93759e-05
98,2536.96,0.51315,0.92102,0.83693,1,0.99789,0.995,0.93715,0.33085,0.61398,0.77587,6.41945e-05,6.41945e-05,6.41945e-05
99,2562.13,0.42539,0.87033,0.81152,1,0.99789,0.995,0.93715,0.33085,0.61398,0.77587,4.86831e-05,4.86831e-05,4.86831e-05
100,2587.29,0.45834,0.89478,0.83545,1,0.99788,0.995,0.93933,0.32849,0.61116,0.77523,3.28416e-05,3.28416e-05,3.28416e-05
